time,datum,time_as_number,all_salt,closest_salt
1962-01-02 09:00:00,02.01.1962,9.0,,
1962-01-03 09:00:00,03.01.1962,9.0,,
1962-01-04 09:00:00,04.01.1962,9.0,,
1962-01-05 09:00:00,05.01.1962,9.0,,
1962-01-08 09:00:00,08.01.1962,9.0,,
1962-01-09 09:00:00,09.01.1962,9.0,,
1962-01-15 10:30:00,15.01.1962,10.5,,
1962-01-17 09:40:00,17.01.1962,9.666666666666666,,
1962-01-18 09:00:00,18.01.1962,9.0,,
1962-01-19 10:05:00,19.01.1962,10.083333333333334,,
1962-01-22 09:15:00,22.01.1962,9.25,,
1962-01-24 09:40:00,24.01.1962,9.666666666666666,,
1962-01-25 09:00:00,25.01.1962,9.0,,
1962-01-26 09:55:00,26.01.1962,9.916666666666666,,
1962-01-29 09:00:00,29.01.1962,9.0,,
1962-01-30 09:00:00,30.01.1962,9.0,,
1962-01-31 09:05:00,31.01.1962,9.083333333333334,,
1962-02-06 09:15:00,06.02.1962,9.25,,
1962-02-08 09:40:00,08.02.1962,9.666666666666666,,
1962-02-09 09:00:00,09.02.1962,9.0,,
1962-02-12 09:15:00,12.02.1962,9.25,,
1962-02-15 09:45:00,15.02.1962,9.75,,
1962-02-19 09:00:00,19.02.1962,9.0,,
1962-02-20 09:00:00,20.02.1962,9.0,,
1962-02-21 09:10:00,21.02.1962,9.166666666666666,,
1962-02-22 09:00:00,22.02.1962,9.0,,
1962-02-23 09:35:00,23.02.1962,9.583333333333334,,
1962-02-28 09:30:00,28.02.1962,9.5,,
1962-03-02 09:05:00,02.03.1962,9.083333333333334,,
1962-03-05 09:30:00,05.03.1962,9.5,,
1962-03-06 09:00:00,06.03.1962,9.0,,
1962-03-07 08:45:00,07.03.1962,8.75,,
1962-03-08 09:00:00,08.03.1962,9.0,,
1962-03-13 09:35:00,13.03.1962,9.583333333333334,,
1962-03-15 09:25:00,15.03.1962,9.416666666666666,,
1962-03-16 09:00:00,16.03.1962,9.0,,
1962-03-20 09:00:00,20.03.1962,9.0,,
1962-03-22 09:35:00,22.03.1962,9.583333333333334,,
1962-03-26 09:55:00,26.03.1962,9.916666666666666,,
1962-03-28 09:15:00,28.03.1962,9.25,,
1962-03-30 09:35:00,30.03.1962,9.583333333333334,,
1962-04-02 10:05:00,02.04.1962,10.083333333333334,,
1962-04-04 08:55:00,04.04.1962,8.916666666666666,,
1962-04-05 09:00:00,05.04.1962,9.0,,
1962-04-06 09:05:00,06.04.1962,9.083333333333334,,
1962-04-09 09:00:00,09.04.1962,9.0,,
1962-04-10 09:00:00,10.04.1962,9.0,,
1962-04-11 09:55:00,11.04.1962,9.916666666666666,,
1962-04-17 08:10:00,17.04.1962,8.166666666666666,,
1962-04-18 09:00:00,18.04.1962,9.0,,
1962-04-19 09:05:00,19.04.1962,9.083333333333334,,
1962-04-24 10:05:00,24.04.1962,10.083333333333334,,
1962-04-25 09:00:00,25.04.1962,9.0,,
1962-04-26 09:50:00,26.04.1962,9.833333333333334,,
1962-04-27 09:00:00,27.04.1962,9.0,,
1962-04-30 14:40:00,30.04.1962,14.666666666666666,,
1962-05-02 09:00:00,02.05.1962,9.0,,
1962-05-03 09:00:00,03.05.1962,9.0,,
1962-05-04 10:10:00,04.05.1962,10.166666666666666,,
1962-05-07 09:00:00,07.05.1962,9.0,,
1962-05-08 08:15:00,08.05.1962,8.25,,
1962-05-09 08:10:00,09.05.1962,8.166666666666666,,
1962-05-10 08:15:00,10.05.1962,8.25,,
1962-05-11 09:00:00,11.05.1962,9.0,,
1962-05-14 09:20:00,14.05.1962,9.333333333333334,,
1962-05-15 09:15:00,15.05.1962,9.25,,
1962-05-16 08:15:00,16.05.1962,8.25,,
1962-05-17 08:20:00,17.05.1962,8.333333333333334,,
1962-05-18 08:20:00,18.05.1962,8.333333333333334,,
1962-05-21 08:20:00,21.05.1962,8.333333333333334,,
1962-05-22 09:00:00,22.05.1962,9.0,,
1962-05-23 09:15:00,23.05.1962,9.25,,
1962-05-24 08:50:00,24.05.1962,8.833333333333334,,
1962-05-25 08:50:00,25.05.1962,8.833333333333334,,
1962-05-28 09:00:00,28.05.1962,9.0,,
1962-05-29 08:30:00,29.05.1962,8.5,,
1962-05-30 08:45:00,30.05.1962,8.75,,
1962-06-01 09:25:00,01.06.1962,9.416666666666666,,
1962-06-04 09:20:00,04.06.1962,9.333333333333334,,
1962-06-05 09:45:00,05.06.1962,9.75,,
1962-06-06 08:45:00,06.06.1962,8.75,,
1962-06-07 09:00:00,07.06.1962,9.0,,
1962-06-08 09:10:00,08.06.1962,9.166666666666666,,
1962-06-12 08:55:00,12.06.1962,8.916666666666666,,
1962-06-13 09:00:00,13.06.1962,9.0,,
1962-06-14 08:50:00,14.06.1962,8.833333333333334,,
1962-06-15 09:00:00,15.06.1962,9.0,,
1962-06-18 09:00:00,18.06.1962,9.0,,
1962-06-19 09:00:00,19.06.1962,9.0,,
1962-06-20 09:15:00,20.06.1962,9.25,,
1962-06-21 09:00:00,21.06.1962,9.0,,
1962-06-22 09:05:00,22.06.1962,9.083333333333334,,
1962-06-26 08:45:00,26.06.1962,8.75,,
1962-06-29 09:30:00,29.06.1962,9.5,,
1962-07-02 09:20:00,02.07.1962,9.333333333333334,,
1962-07-05 09:00:00,05.07.1962,9.0,,
1962-07-06 09:00:00,06.07.1962,9.0,,
1962-07-09 09:00:00,09.07.1962,9.0,,
1962-07-10 08:00:00,10.07.1962,8.0,,
1962-07-11 08:55:00,11.07.1962,8.916666666666666,,
1962-07-12 09:00:00,12.07.1962,9.0,,
1962-07-13 08:45:00,13.07.1962,8.75,,
1962-07-16 09:00:00,16.07.1962,9.0,,
1962-07-18 09:20:00,18.07.1962,9.333333333333334,,
1962-07-19 09:00:00,19.07.1962,9.0,,
